[Row 157] Task B: ΔMain-lobe=117.19 dB, HPBW_elev≈15.52°, HPBW_az≈15.88°, SLL=-0.4 dB
[Row 158] Task B: ΔMain-lobe=104.44 dB, HPBW_elev≈7.02°, HPBW_az≈16.10°, SLL=-0.2 dB
[Row 159] Task B: ΔMain-lobe=80.50 dB, HPBW_elev≈7.45°, HPBW_az≈1.53°, SLL=-0.7 dB
[Row 160] Task B: ΔMain-lobe=77.99 dB, HPBW_elev≈14.40°, HPBW_az≈3.03°, SLL=-0.6 dB
[Row 161] Task B: ΔMain-lobe=97.20 dB, HPBW_elev≈1.65°, HPBW_az≈11.80°, SLL=-0.4 dB
[Row 162] Task B: ΔMain-lobe=132.21 dB, HPBW_elev≈9.40°, HPBW_az≈10.68°, SLL=-0.2 dB
[Row 163] Task B: ΔMain-lobe=115.42 dB, HPBW_elev≈9.40°, HPBW_az≈18.52°, SLL=-0.3 dB
[Row 164] Task B: ΔMain-lobe=60.02 dB, HPBW_elev≈15.22°, HPBW_az≈19.40°, SLL=-0.2 dB
[Row 165] Task B: ΔMain-lobe=80.16 dB, HPBW_elev≈20.00°, HPBW_az≈19.85°, SLL=-0.0 dB
[Row 166] Task B: ΔMain-lobe=130.98 dB, HPBW_elev≈8.65°, HPBW_az≈13.05°, SLL=-0.5 dB
[Row 167] Task B: ΔMain-lobe=124.61 dB, HPBW_elev≈20.00°, HPBW_az≈20.00°, SLL=-0.1 dB
[Row 168] Task B: ΔMain-lobe=118.18 dB, HPBW_elev≈20.00°, HPBW_az≈17.47°, SLL=-3.3 dB
[Row 169] Task B: ΔMain-lobe=123.42 dB, HPBW_elev≈9.08°, HPBW_az≈20.00°, SLL=-0.2 dB
[Row 170] Task B: ΔMain-lobe=106.83 dB, HPBW_elev≈9.57°, HPBW_az≈3.53°, SLL=-0.5 dB
[Row 171] Task B: ΔMain-lobe=96.28 dB, HPBW_elev≈9.02°, HPBW_az≈18.10°, SLL=-0.0 dB
